filename,exercise,group,equipment,panels,position_hint
barbell-bench-press-flat.png,Barbell Bench Press (Flat),Chest,Barbell,2 (start | end),"Shoulder blades pinched and down, slight arch, feet planted / Lower to mid-chest with elbows ~45°, not flared to 90°"
barbell-bench-press-incline-30.png,Barbell Bench Press (Incline 30°),Chest,Barbell,2 (start | end),"Blades back and down; bar touches just below the collarbone / Elbows tucked ~45°, forearms vertical at the bottom"
barbell-bench-press-incline-45.png,Barbell Bench Press (Incline 45°),Chest,Barbell,2 (start | end),"Bar lands high on the chest, near the collarbone / Keep shoulder blades set — don't let shoulders roll forward"
barbell-bench-press-incline-60.png,Barbell Bench Press (Incline 60°),Chest,Barbell,2 (start | end),"Mostly a shoulder press — expect lighter loads / Bar to upper chest/chin line, elbows slightly in front"
barbell-bench-press-decline.png,Barbell Bench Press (Decline),Chest,Barbell,2 (start | end),Hook your legs in securely before unracking / Lower to the bottom of the chest
dumbbell-bench-press-flat.png,Dumbbell Bench Press (Flat),Chest,Dumbbell,2 (start | end),"Kick the dumbbells up off your knees to get set / Lower until elbows are just below the bench, wrists stacked"
dumbbell-bench-press-incline-30.png,Dumbbell Bench Press (Incline 30°),Chest,Dumbbell,2 (start | end),"Blades pinched, dumbbells at upper-chest level / Elbows ~45°, forearms vertical"
dumbbell-bench-press-incline-60.png,Dumbbell Bench Press (Incline 60°),Chest,Dumbbell,2 (start | end),Shoulder-dominant — keep the load moderate / Lower to shoulder level with elbows slightly forward
dumbbell-bench-press-decline.png,Dumbbell Bench Press (Decline),Chest,Dumbbell,2 (start | end),"Secure your legs before bringing the weights into position / Lower to the bottom of the chest, elbows ~45°"
machine-chest-press-flat.png,Machine Chest Press (Flat),Chest,Machine,2 (start | end),Set the seat so handles line up with mid-chest / Blades back against the pad the whole set
machine-chest-press-incline.png,Machine Chest Press (Incline),Chest,Machine,2 (start | end),"Handles at upper-chest height when seated / Keep shoulders down and back, not shrugged"
smith-machine-bench-press-flat.png,Smith Machine Bench Press (Flat),Chest,Machine,2 (start | end),"Position the bench so the bar lands on mid-chest / Same setup as barbell: blades pinched, feet planted"
smith-machine-bench-press-incline.png,Smith Machine Bench Press (Incline),Chest,Machine,2 (start | end),"Bench placed so the bar meets the upper chest / Elbows ~45°, forearms vertical at the bottom"
cable-chest-press-standing-flat.png,"Cable Chest Press (Standing, Flat)",Chest,Cable,2 (start | end),"Staggered stance, brace your core / Handles at chest height; press straight out"
cable-fly-high-to-low.png,Cable Fly (High-to-Low),Chest,Cable,2 (start | end),"Slight lean forward, soft fixed bend in the elbows / Sweep down and in toward your hips"
cable-fly-low-to-high.png,Cable Fly (Low-to-High),Chest,Cable,2 (start | end),"Pulleys low, palms up, slight elbow bend / Sweep up and in to chin height"
cable-fly-mid-flat.png,Cable Fly (Mid / Flat),Chest,Cable,2 (start | end),"Pulleys at chest height, one step forward / Arc the handles together in front of your chest"
dumbbell-fly-flat.png,Dumbbell Fly (Flat),Chest,Dumbbell,2 (start | end),"Slight bend in the elbows, fixed through the rep / Lower in a wide arc until you feel a chest stretch"
dumbbell-fly-incline.png,Dumbbell Fly (Incline),Chest,Dumbbell,2 (start | end),"Bench ~30°, palms facing each other / Wide arc down to a comfortable stretch"
pec-deck-machine-fly.png,Pec Deck / Machine Fly,Chest,Machine,2 (start | end),"Seat set so handles are at chest height / Chest up, blades back against the pad"
push-up-standard.png,Push-Up (Standard),Chest,Bodyweight,2 (start | end),"Hands just outside shoulders, body one straight line / Chest to an inch off the floor, elbows ~45°"
push-up-incline-hands-elevated.png,"Push-Up (Incline, hands elevated)",Chest,Bodyweight,2 (start | end),Hands on a bench/box; higher = easier / Straight line head to heels
push-up-decline-feet-elevated.png,"Push-Up (Decline, feet elevated)",Chest,Bodyweight,2 (start | end),"Feet on a bench, hands under shoulders / Keep hips level — no piking"
push-up-wide-grip.png,Push-Up (Wide Grip),Chest,Bodyweight,2 (start | end),"Hands 1.5x shoulder width, fingers slightly out / Lower with control; chest leads"
push-up-close-grip-diamond.png,Push-Up (Close-Grip / Diamond),Chest,Bodyweight,2 (start | end),Hands together under the chest / Elbows track back close to your ribs
dip-chest-focused-forward-lean.png,"Dip (Chest-Focused, forward lean)",Chest,Bodyweight,2 (start | end),"Lean the torso forward ~30°, elbows slightly flared / Lower until shoulders are just below elbows"
landmine-press.png,Landmine Press,Chest,Barbell,2 (start | end),"Staggered stance, bar end at the shoulder / Press up and forward along the bar path"
floor-press-barbell.png,Floor Press (Barbell),Chest,Barbell,2 (start | end),"Lie under the bar, knees bent or legs straight / Lower until triceps touch the floor, pause"
svend-press-plate-squeeze-press.png,Svend Press / Plate Squeeze Press,Chest,Other,2 (start | end),Squeeze plates together hard between flat palms / Press straight out from the chest
dumbbell-pullover.png,Dumbbell Pullover,Chest,Dumbbell,2 (start | end),"Hold one dumbbell over the chest, slight elbow bend / Lower behind the head until you feel lats and chest stretch"
hex-press-dumbbell-squeeze-press-flat.png,"Hex Press (Dumbbell Squeeze Press, Flat)",Chest,Dumbbell,2 (start | end),Press the dumbbells together hard / Lower to the chest keeping them touching
decline-dumbbell-fly.png,Decline Dumbbell Fly,Chest,Dumbbell,2 (start | end),Secure legs; slight elbow bend / Arc down to a stretch at chest level
resistance-band-chest-press-standing.png,Resistance Band Chest Press (Standing),Chest,Bands,2 (start | end),"Band anchored behind you at chest height / Staggered stance, brace"
single-arm-dumbbell-bench-press-flat.png,Single-Arm Dumbbell Bench Press (Flat),Chest,Dumbbell,2 (start | end),Free hand braces on the bench or your side / Don't let the torso rotate toward the weight
single-arm-cable-crossover-standing.png,Single-Arm Cable Crossover (Standing),Chest,Cable,2 (start | end),"Stand side-on to the pulley, slight lean / Sweep the handle across the body past midline"
spoto-press.png,Spoto Press,Chest,Barbell,2 (start | end),"Bench press that stops an inch above the chest / Pause 1 second without touching, stay tight"
